date,AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
2017-08-08,159.43310840282,159.43310840282,989.84,944.19,171.23,35.029361759185,13.11,72.039718322991,154.01251074967,187.47594397336,8.87,81.083291524598
2017-08-04,155.75801988454,155.75801988454,987.58,945.75,171.98,34.940278895146,13.43,71.653738241305,154.06221786004,187.84160606756,8.59,80.775216755967
2017-08-03,154.94133354715,154.94133354715,986.92,945.79,169.62,34.910584607133,13.12,71.930852146105,152.91895432168,187.48582673267,8.33,79.980185094983
2017-08-02,156.50498909557,156.50498909557,995.89,940.3,168.59,34.415679806919,13.24,71.406315112019,153.81368230822,187.76254399314,8.67,80.367763029713
2017-08-01,149.44364015394,149.44364015394,996.19,947.64,169.25,34.46517028694,13.37,71.515181288904,155.67272823581,187.66371640011,8.14,80.029874573794
2017-07-31,148.24848941629,148.24848941629,987.78,946.56,169.86,34.405781710914,13.71,71.831882894391,153.13766560728,188.00961297571,8.48,80.000060886508
2017-07-28,148.89586273252,148.89586273252,1020.04,945.5,169.25,35.613349423438,13.61,71.970439846791,154.23122203527,187.9601991792,8.72,79.49322820263
2017-07-27,149.95157921745,149.95157921745,1046.0,958.33,172.45,35.405489407348,13.95,72.287141452278,154.93706300243,188.48398542224,9.21,79.314346078909
2017-07-26,152.83986016677,152.83986016677,1052.8,952.51,170.44,35.573757039421,14.12,72.405904554335,156.03061943042,189.08683373971,9.3,79.284532391622
2017-07-25,152.12276972418,152.12276972418,1039.87,965.31,165.61,35.257017967283,14.76,73.286730894594,155.59319685923,189.0374199432,8.76,78.40999756454
2017-07-24,151.47539640795,151.47539640795,1038.95,969.03,165.28,35.207527487262,14.11,73.425287846995,158.13820090983,188.44445438503,8.81,78.032357525572
2017-07-21,149.66275112251,149.66275112251,1025.67,998.31,166.0,35.454979887369,14.16,72.841369261879,150.96049417337,188.75081992342,8.4,76.412480516318
2017-07-20,149.73246824888,149.73246824888,1028.7,993.84,164.43,35.702432287477,13.88,73.029410840136,153.01836854241,188.19738540246,8.83,75.677076229907
2017-07-19,150.40972033355,150.40972033355,1026.87,992.19,164.53,36.038967551622,13.8,73.474772472852,153.30666978251,189.26472340716,9.6,75.547883584998
2017-07-18,149.47351892239,149.47351892239,1024.38,992.77,164.14,36.098356127648,13.55,73.098689316337,152.98854427619,189.88733724324,8.68,75.398815148563
2017-07-17,148.9556202694,148.9556202694,1010.04,986.95,162.86,36.058763743631,13.48,72.544461506735,153.0581342307,189.96639931766,9.01,75.726765708719
2017-07-14,148.43772161642,148.43772161642,1001.81,975.96,159.73,36.00927326361,13.8,72.593946132593,154.35051910014,189.87745448393,9.04,75.895709936678
2017-07-13,147.17285375241,147.17285375241,999.855,976.91,159.97,35.979578975597,13.92,72.02982139782,154.37040194429,190.74713730258,8.06,75.865896249391
2017-07-12,145.15105708788,145.15105708788,1006.51,968.7175,159.26,35.494572271386,13.53,71.030231955503,154.13180781454,190.1047579479,8.19,74.583907696055
2017-07-11,144.94190570879,144.94190570879,994.13,967.66,158.9,35.138240815232,14.29,70.416622594873,155.66278681373,188.07879229083,7.64,73.480801266439
2017-07-10,144.47380500321,144.47380500321,996.47,953.53,155.27,35.039259855189,13.89,69.268579274985,154.0025693276,188.95835786878,7.6,73.013720165611
2017-07-07,143.59736112893,143.59736112893,978.76,951.0,153.5,34.831399839099,13.81,69.258682349814,154.60899607403,188.09855780944,7.46,72.775210667316
2017-07-06,142.15322065427,142.15322065427,965.14,940.81,151.44,34.583947438992,13.36,68.744042240898,155.35460272948,189.27460616646,7.78,74.862168777399
2017-07-05,143.5077248236,143.5077248236,971.4,927.69,148.82,34.514660766962,13.02,67.863215900639,152.19323051038,188.96824062808,7.93,75.001299318071
2017-07-03,142.92010904426,142.92010904426,953.66,932.26,150.34,34.653234111022,13.19,68.367959084383,152.17334766623,187.67359915942,8.69,74.852230881637
2017-06-30,143.43800769724,143.43800769724,968.0,919.46,148.43,35.207527487262,12.15,67.467338893781,151.60668660809,187.28817154661,9.19,74.891982464686
2017-06-29,143.09938165491,143.09938165491,975.93,929.68,150.98,34.574049342987,12.48,68.219505206811,152.26282046488,186.87309565589,8.86,75.209995129079
2017-06-28,145.2406933932,145.2406933932,990.33,937.82,151.04,34.504762670957,12.6,67.784040499267,152.23299619867,186.68532322914,8.5,75.458442523137
2017-06-27,143.15913919179,143.15913919179,976.78,961.01,153.24,34.227615982837,13.23,69.080537696728,153.39614258117,187.09051636055,8.01,76.03484047735
2017-06-26,145.23073380372,145.23073380372,993.98,948.09,150.58,33.861386430678,13.395,68.496619111612,152.81954010095,187.66371640011,7.72,75.537945689235
2017-06-23,145.75859204618,145.75859204618,1003.74,972.09,153.59,34.168227406811,14.08,69.803013234243,153.0581342307,187.63406812221,7.36,75.031113005358
2017-06-22,145.04150160359,145.04150160359,1001.3,986.09,155.07,33.851488334674,14.15,70.476004145902,153.73415093164,184.16521960694,6.95,74.375211885046
2017-06-21,145.28053175112,145.28053175112,1002.23,976.62,153.4,33.84159023867,14.3708,69.535796254614,153.8932136848,184.71865412789,6.82,75.050988796883
2017-06-20,144.4240070558,144.4240070558,992.59,978.59,153.91,33.782201662644,13.98,69.545693179786,152.82948152303,185.21279209303,6.43,75.766517291768
2017-06-19,145.7486324567,145.7486324567,995.17,968.99,152.25,34.04945025476,12.64,69.189403873614,153.1674898735,184.99537138837,6.8,75.070864588407
2017-06-16,141.69507953817,141.69507953817,987.71,975.22,152.87,33.999959774739,11.93,70.139508690073,152.24293762074,183.85885406855,6.37,75.031113005358
2017-06-15,143.70691661321,143.70691661321,964.17,958.62,150.64,33.940571198713,11.44,69.278476200157,151.09967408238,181.22015733472,6.67,74.772727715538
2017-06-14,144.57340089801,144.57340089801,976.47,960.18,149.8,34.247412174846,11.5,69.179506948442,150.28447747242,180.805081444,6.86,78.419935460302
2017-06-13,145.99762219371,145.99762219371,980.79,967.93,150.25,34.25731027085,11.76,69.545693179786,149.79734779086,181.25968837193,7.02,79.40378714077
2017-06-12,144.7327543297,144.7327543297,964.83,970.5,150.68,34.158329310807,11.96,69.921776336301,148.94238549262,179.56973653115,6.85,79.026147101802
2017-06-09,148.37796407954,148.37796407954,978.31,961.81,148.44,34.32659694288,12.085,69.060743846385,147.60029351281,178.31778074673,7.03,78.747886020458
2017-06-08,154.36367735728,154.36367735728,1009.94,970.12,149.63,33.990061678734,12.28,69.595177805643,150.59266155668,177.74826360557,7.06,78.926768144179
2017-06-07,154.74214175754,154.74214175754,1010.07,1004.28,154.71,33.762405470636,12.9,71.203428146004,150.54295444631,175.7647728726,6.9,78.439811251827
2017-06-06,153.82585952534,153.82585952534,1002.97,1001.59,153.12,33.990061678734,12.38,71.643841316133,151.04996697202,174.95959346614,7.02,78.658444958597
2017-06-05,153.30796087235,153.30796087235,1011.34,996.68,152.81,33.706158513791,12.02,71.772501343362,150.34412600486,173.86965548911,6.61,78.439811251827
2017-06-02,154.82181847338,154.82181847338,1006.73,1003.88,153.63,33.735527806716,11.24,71.534975139247,151.8949878482,172.58333229099,6.78,79.761551388212
2017-06-01,152.56099166132,152.56099166132,995.95,996.12,153.61,33.725738042408,10.9,71.020335030332,152.8394229451,171.93526106141,7.2,79.125526059425
2017-05-31,152.14268890314,152.14268890314,994.62,988.29,151.53,33.706158513791,10.93,69.377445451871,151.49733096529,171.87634549508,7.55,79.314346078909
2017-05-30,153.04901154586,153.04901154586,996.7,987.09,151.46,33.216670298371,11.1801,69.120125397413,149.08649494132,171.03188904441,7.39,78.111860691671
2017-05-26,152.98925400898,152.98925400898,995.78,996.17,152.38,32.825079726036,11.12,69.684250132186,148.13796929254,172.00399588879,7.39,77.664655382367
2017-05-25,153.24820333547,153.24820333547,993.38,993.27,152.13,32.37475056785,11.0,69.248785424642,148.06880596399,171.66032175189,7.78,77.644779590843
2017-05-24,152.72034509301,152.72034509301,980.35,991.86,151.96,31.914631645355,10.98,68.902393043641,147.98976215992,172.24947741515,8.48,77.823661714564
2017-05-23,153.17848620911,153.17848620911,971.54,977.61,150.04,32.502017503859,10.89,68.061154404068,147.7131088457,174.27224519234,7.47,77.664655382367
2017-05-22,153.36771840924,153.36771840924,970.7,970.55,148.07,32.521597032476,10.89,67.972082077525,146.05318896034,173.62417396275,7.78,78.002543838285
